STN,WBAN,Temp,DewP,Count_DewP,SLP,Count_SLP,STP,Count_STP,Visib,Count_Visib,WDSP,Count_WDSP,MXSDP,Gust,SNDP,FRSHIFT
690190,13910,82.80669444,66.24,23.56666667,1010.886667,23.5,949.6233333,23.56666667,9.723333333,23.53333333,10.93,23.56666667,17.22666667,88.43666667,999.9,2668
720110,53983,84.315375,69.22333333,24,9999.9,0,974.9333333,23.93333333,42.48,21.06666667,5.933333333,24,13.27333333,52.72666667,999.9,4001.666667
720151,3049,79.61756944,55.89333333,23.9,9999.9,0,870.2066667,23.96666667,9.923333333,24,6.94,24,17.79666667,25.45,999.9,3670.333333
720261,53976,84.74719444,68.18666667,24,9999.9,0,982.5833333,23.96666667,9.56,24,6.323333333,24,12.47333333,84.42,999.9,2335
720269,12982,85.97426389,74.88666667,24,9999.9,0,1007.743333,23.96666667,8.71,24,6.86,24,15.1,54.14,999.9,0
720271,3044,83.44481944,60.04666667,24,9999.9,0,923.8033333,23.96666667,9.84,24,10.36,24,17.94333333,24.1,999.9,2002
720273,12981,84.26261111,76.84666667,24,9999.9,0,1011.72,23.9,8.866666667,24,5.866666667,24,13.13666667,83.74,999.9,16333.33333
720276,12983,87.35440278,74.23666667,23.96666667,9999.9,0,1008.773333,23.86666667,8.906666667,23.96666667,7.013333333,23.96666667,16.78666667,22.37666667,999.9,10001.66667
720281,53969,85.81063889,65.77,24,9999.9,0,966.8833333,23.96666667,9.873333333,24,9.926666667,24,18.77666667,24.35,999.9,1668.333333
720286,53977,86.62169444,68.87666667,24,9999.9,0,985.3033333,23.96666667,9.66,24,7.343333333,24,14.67666667,53.01333333,999.9,6334
720287,53967,85.45486111,69.85,24,9999.9,0,986.57,23.96666667,9.73,24,8.416666667,24,15.57666667,53.43666667,999.9,3334.333333
720291,53970,83.39091954,69.24137931,23.44827586,9999.9,0,997.2172414,23.44827586,9.603448276,23.44827586,7.010344828,23.44827586,14.11724138,53.33793103,999.9,0
720295,53972,83.71675,69.74,24,9999.9,0,988.69,23.96666667,9.396666667,24,7.06,24,13.63666667,84.99333333,999.9,2335
720296,53945,84.11808333,74.51666667,24,9999.9,0,1007.236667,23.96666667,8.213333333,24,2.416666667,24,9.76,443.4033333,999.9,12000
720298,53971,82.6465,72.09333333,24,9999.9,0,990.5,23.93333333,9.053333333,24,4.556666667,24,9.176666667,475.7933333,999.9,10669.33333
720299,53966,83.36966667,69.61666667,23.86666667,9999.9,0,987.6933333,23.73333333,9.22,22.93333333,6.906666667,23.63333333,13.5,150.6333333,999.9,2666.666667
720302,53963,82.99776389,70.46,24,9999.9,0,997.8833333,23.96666667,9.39,24,3.45,24,9.483333333,344.1733333,999.9,0
720303,53973,82.58568056,72.13,24,9999.9,0,1003.25,23.96666667,7.45,24,4.49,24,10.44,410.26,999.9,10334.66667
720305,53964,84.26927778,66.25,24,9999.9,0,975.77,23.96666667,9.58,24,8.22,24,14.74333333,54.12666667,999.9,2000
